,Timestamp,Flow robustness,Redundancy_avg,Disparity_avg,Modularity,Criticity,RCost,Efficiency
901,12,1.0,5.67,0.5122256218349835,-0.012877531654669368,6,434,0.5910000000000004
902,24,0.92,5.8478260869565215,0.5327050252916603,-0.016469136234725675,2,404,0.5448333333333336
903,36,0.92,5.608695652173913,0.5446968914966519,-0.01733937831283728,5,406,0.5365000000000001
904,48,0.92,6.8478260869565215,0.5252354519648816,-0.014372801426257329,4,412,0.5398571428571431
905,60,0.92,5.989130434782608,0.4794565839025583,-0.010726729458959276,4,420,0.5365238095238097
906,72,0.92,9.83695652173913,0.5417010135059461,-0.00758889291444542,5,430,0.5299404761904765
907,84,0.92,6.717391304347826,0.5434656715323664,-0.00702411450211628,7,434,0.5236904761904766
908,96,0.92,7.25,0.5745619429401626,-0.010368867526313639,6,472,0.5086868686868691
909,108,0.92,7.782608695652174,0.5502312228326124,0.0008312972574419247,6,474,0.5156868686868691
910,120,0.92,13.173913043478262,0.5478863031062478,0.00324001877394058,7,484,0.5133162393162397
911,132,0.92,9.91304347826087,0.5566979127412622,-0.001327999999999997,7,492,0.5057051282051286
912,144,0.92,9.217391304347826,0.5626441516984706,-0.0008753348155669544,9,510,0.4918717948717951
913,156,0.88,8.306818181818182,0.5665259046306033,-0.000400576830636109,7,482,0.47937179487179504
914,168,0.92,7.0,0.5568571816570126,-0.003752513645504178,11,516,0.48353846153846175
915,180,0.92,8.25,0.5380980277245861,0.0012432453598558992,11,530,0.47787179487179515
916,192,0.92,8.83695652173913,0.5601098826510901,-0.00016866250632484724,10,528,0.4790384615384619
917,204,0.92,9.5,0.5735824060457536,-0.003689860986632598,8,534,0.47237179487179515
918,216,0.92,9.76086956521739,0.48327441607632277,-0.0028486960607721776,13,546,0.46770512820512855
919,228,1.0,9.34,0.5413215548313162,-0.0009496043315285178,11,704,0.46722965922965953
920,240,1.0,9.18,0.524565407955081,-0.002833486335710752,14,724,0.45755566655566665
921,252,1.0,10.23,0.5472817277031947,-0.008878409990974228,15,744,0.4403175713175715
922,264,0.92,10.891304347826088,0.46171650156905364,-0.010647710591405415,13,616,0.4342857142857144
923,276,0.92,8.956521739130435,0.4522455020959971,-0.009776622100284585,14,620,0.4337738095238096
924,288,0.82,16.597560975609756,0.5167823530308003,-0.00552814233942793,11,538,0.4076309523809525
925,300,0.82,13.926829268292684,0.5211434247028894,-0.005740477038091854,9,540,0.4026309523809525
926,312,0.92,16.17391304347826,0.5250798118178225,-0.004183616863905327,16,652,0.4193214285714288
927,324,0.92,10.195652173913043,0.4674070394946531,-0.0016845982794636348,16,626,0.4302811355311356
928,336,0.92,11.652173913043478,0.502102329199181,-0.0027421194399281676,13,654,0.41738827838827847
929,348,0.92,8.369565217391305,0.4556809143931214,-0.0002498512790005786,14,636,0.43091208791208807
930,360,0.92,8.597826086956522,0.4640181970769646,0.0012499690601717793,13,644,0.42865018315018333
931,372,0.92,7.576086956521739,0.4680817303612936,-0.00873688854033919,13,626,0.4234835164835166
932,384,0.92,7.836956521739131,0.5017436554802659,-0.008969708852073332,13,622,0.42565018315018327
933,396,0.92,7.5,0.5178353083344163,-0.010594543940024986,12,626,0.42097161172161185
934,408,0.86,6.465116279069767,0.47946931706432533,-0.007250349496998435,10,572,0.40287637362637374
