,Source,Dest,Number of SP,SP length,Disparity
317,13,39,1,1,0.0
318,48,36,1,1,0.0
319,48,28,3,2,1.0
320,48,39,1,2,0.0
321,36,28,1,1,0.0
322,36,39,1,2,0.0
323,28,39,1,2,0.0
324,45,40,1,1,0.0
325,45,47,2,2,1.0
326,45,31,2,2,1.0
327,40,47,1,1,0.0
328,40,31,4,2,1.0
329,47,31,1,1,0.0
330,37,47,1,1,0.0
331,37,31,1,1,0.0
332,37,0,1,2,0.0
333,37,48,4,3,0.888888888888889
334,47,31,1,1,0.0
335,47,0,1,2,0.0
336,47,48,1,3,0.0
337,31,0,1,1,0.0
338,31,48,1,2,0.0
339,0,48,1,1,0.0
340,34,3,1,1,0.0
341,34,1,1,1,0.0
342,34,35,1,1,0.0
343,34,6,1,1,0.0
344,3,1,1,1,0.0
345,3,35,2,2,1.0
346,3,6,1,2,0.0
347,1,35,1,1,0.0
348,1,6,2,2,1.0
349,35,6,1,1,0.0
350,8,2,1,1,0.0
351,8,14,12,5,0.6606060606060605
352,8,24,7,4,0.7023809523809523
353,8,44,2,4,0.5
354,2,14,6,4,0.7
355,2,24,3,4,0.5833333333333334
356,2,44,1,4,0.0
357,14,24,5,5,0.6799999999999999
358,14,44,3,5,0.6
359,24,44,1,1,0.0
360,23,41,1,1,0.0
361,23,20,1,1,0.0
362,23,17,3,2,1.0
363,41,20,1,1,0.0
364,41,17,1,1,0.0
365,20,17,1,1,0.0
366,38,18,1,1,0.0
367,38,16,2,2,1.0
368,38,43,3,2,1.0
369,38,28,1,2,0.0
370,18,16,3,3,0.7777777777777778
371,18,43,5,3,0.8000000000000002
372,18,28,1,3,0.0
373,16,43,1,1,0.0
374,16,28,1,2,0.0
375,43,28,1,2,0.0
376,30,42,1,1,0.0
377,30,25,5,2,1.0
378,30,9,1,2,0.0
379,42,25,1,1,0.0
380,42,9,2,2,1.0
381,25,9,1,1,0.0
382,40,21,1,1,0.0
383,40,27,1,1,0.0
384,40,13,12,4,0.7954545454545454
385,40,39,12,5,0.6363636363636362
386,21,27,1,1,0.0
387,21,13,1,3,0.0
388,21,39,1,4,0.0
389,27,13,1,3,0.0
390,27,39,1,4,0.0
391,13,39,1,1,0.0
392,49,10,1,1,0.0
393,49,32,1,1,0.0
394,49,22,3,5,0.4666666666666666
395,10,32,1,1,0.0
396,10,22,2,4,0.5
397,32,22,1,4,0.0
398,4,12,1,1,0.0
399,4,7,4,2,1.0
400,4,33,1,1,0.0
401,4,36,4,3,0.777777777777778
402,12,7,1,1,0.0
403,12,33,1,1,0.0
404,12,36,3,3,0.6666666666666666
405,7,33,1,1,0.0
406,7,36,4,3,0.777777777777778
407,33,36,3,2,1.0
408,45,15,1,1,0.0
409,45,19,1,1,0.0
410,15,19,1,1,0.0
411,19,22,1,1,0.0
412,19,45,1,1,0.0
413,19,14,1,1,0.0
414,19,48,1,3,0.0
415,22,45,1,1,0.0
416,22,14,3,2,1.0
417,22,48,12,4,0.803030303030303
418,45,14,1,1,0.0
419,45,48,3,3,0.7777777777777778
420,14,48,4,3,0.888888888888889
421,6,35,1,1,0.0
422,6,24,1,1,0.0
423,6,44,1,1,0.0
424,6,8,2,3,0.6666666666666667
425,35,24,1,1,0.0
426,35,44,2,2,1.0
427,35,8,5,3,0.8000000000000002
428,24,44,1,1,0.0
429,24,8,7,4,0.7023809523809523
430,44,8,2,4,0.5
431,46,11,1,1,0.0
432,32,49,1,1,0.0
433,32,13,3,4,0.5
434,49,13,3,5,0.4000000000000001
435,25,27,1,1,0.0
436,25,15,5,2,1.0
437,25,16,1,2,0.0
438,25,7,2,2,1.0
439,27,15,1,1,0.0
440,27,16,2,2,1.0
441,27,7,7,3,0.9047619047619048
442,15,16,1,1,0.0
443,15,7,1,2,0.0
444,16,7,1,1,0.0
445,30,42,1,1,0.0
446,30,17,1,2,0.0
447,30,43,4,3,0.777777777777778
448,42,17,1,1,0.0
449,42,43,3,2,1.0
450,17,43,1,1,0.0
451,9,41,1,1,0.0
452,9,20,2,2,1.0
453,9,23,2,2,1.0
454,9,39,1,4,0.0
455,41,20,1,1,0.0
456,41,23,1,1,0.0
457,41,39,2,4,0.5
458,20,23,1,1,0.0
459,20,39,3,4,0.5
460,23,39,1,4,0.0
461,5,29,1,1,0.0
462,40,28,7,4,0.5595238095238095
463,40,3,1,4,0.0
464,28,3,3,3,0.6666666666666666
465,4,33,1,1,0.0
